,image_name,has_potholes,rating,is_pitched,has_cracks
0,1600.jpg,1,2,1,1
1,1601.jpg,1,2,1,1
2,1602.jpg,1,2,1,1
3,1610.jpg,0,3,1,0
4,1611.jpg,0,3,1,0
5,1612.jpg,0,3,1,0
6,1620.jpg,1,2,1,1
7,1621.jpg,1,2,1,1
8,1622.jpg,1,2,1,1
9,1630.jpg,1,2,1,1
10,1631.jpg,1,2,1,1
11,1632.jpg,1,2,1,1
12,1640.jpg,1,1,1,1
13,1641.jpg,1,1,1,1
14,1642.jpg,1,1,1,1
15,1650.jpg,1,1,0,1
16,1651.jpg,1,1,0,1
17,1652.jpg,1,1,0,1
18,1660.jpg,0,3,1,0
19,1661.jpg,0,3,1,0
20,1662.jpg,0,3,1,0
21,1670.jpg,1,1,1,0
22,1671.jpg,1,1,1,0
23,1672.jpg,1,1,1,0
24,1680.jpg,0,2,1,1
25,1681.jpg,0,2,1,1
26,1682.jpg,0,2,1,1
27,1690.jpg,0,2,1,1
28,1691.jpg,0,2,1,1
29,1692.jpg,0,2,1,1
30,170.jpg,1,1,0,1
31,171.jpg,1,1,0,1
32,172.jpg,1,1,0,1
33,1700.jpg,1,1,1,1
34,1701.jpg,1,1,1,1
35,1702.jpg,1,1,1,1
36,1710.jpg,1,2,1,0
37,1711.jpg,1,2,1,0
38,1712.jpg,1,2,1,0
39,1720.jpg,1,2,1,0
40,1721.jpg,1,2,1,0
41,1722.jpg,1,2,1,0
42,1730.jpg,0,2,1,1
43,1731.jpg,0,2,1,1
44,1732.jpg,0,2,1,1
45,1740.jpg,1,2,1,1
46,1741.jpg,1,2,1,1
47,1742.jpg,1,2,1,1
48,1750.jpg,1,2,1,0
49,1751.jpg,1,2,1,0
50,1752.jpg,1,2,1,0
51,1760.jpg,1,1,1,1
52,1761.jpg,1,1,1,1
53,1762.jpg,1,1,1,1
54,1770.jpg,1,2,1,0
55,1771.jpg,1,2,1,0
56,1772.jpg,1,2,1,0
57,1780.jpg,1,2,1,0
58,1781.jpg,1,2,1,0
59,1782.jpg,1,2,1,0
60,1790.jpg,1,1,1,0
61,1791.jpg,1,1,1,0
62,1792.jpg,1,1,1,0
63,180.jpg,0,2,1,1
64,181.jpg,0,2,1,1
65,182.jpg,0,2,1,1
66,1800.jpg,1,2,0,1
67,1801.jpg,1,2,0,1
68,1802.jpg,1,2,0,1
69,1810.jpg,1,1,0,1
70,1811.jpg,1,1,0,1
71,1812.jpg,1,1,0,1
72,1820.jpg,1,2,1,0
73,1821.jpg,1,2,1,0
74,1822.jpg,1,2,1,0
75,1830.jpg,1,1,0,0
76,1831.jpg,1,1,0,0
77,1832.jpg,1,1,0,0
78,1840.jpg,1,2,1,0
79,1841.jpg,1,2,1,0
80,1842.jpg,1,2,1,0
81,1850.jpg,0,2,1,1
82,1851.jpg,0,2,1,1
83,1852.jpg,0,2,1,1
84,1860.jpg,0,2,1,1
85,1861.jpg,0,2,1,1
86,1862.jpg,0,2,1,1
87,1870.jpg,0,2,1,1
88,1871.jpg,0,2,1,1
89,1872.jpg,0,2,1,1
90,1880.jpg,1,2,1,1
91,1881.jpg,1,2,1,1
92,1882.jpg,1,2,1,1
93,1890.jpg,1,2,1,0
94,1891.jpg,1,2,1,0
95,1892.jpg,1,2,1,0
96,190.jpg,1,1,1,0
97,191.jpg,1,1,1,0
98,192.jpg,1,1,1,0
99,1900.jpg,1,1,1,0
100,1901.jpg,1,1,1,0
101,1902.jpg,1,1,1,0
102,1910.jpg,1,2,1,1
103,1911.jpg,1,2,1,1
104,1912.jpg,1,2,1,1
105,1920.jpg,1,2,1,0
106,1921.jpg,1,2,1,0
107,1922.jpg,1,2,1,0
108,1930.jpg,0,2,1,1
109,1931.jpg,0,2,1,1
110,1932.jpg,0,2,1,1
111,1940.jpg,0,2,1,1
112,1941.jpg,0,2,1,1
113,1942.jpg,0,2,1,1
114,1950.jpg,1,2,1,1
115,1951.jpg,1,2,1,1
116,1952.jpg,1,2,1,1
117,1960.jpg,1,1,1,1
118,1961.jpg,1,1,1,1
119,1962.jpg,1,1,1,1
120,1970.jpg,1,1,1,0
121,1971.jpg,1,1,1,0
122,1972.jpg,1,1,1,0
123,1980.jpg,1,1,1,0
124,1981.jpg,1,1,1,0
125,1982.jpg,1,1,1,0
126,1990.jpg,0,2,1,1
127,1991.jpg,0,2,1,1
128,1992.jpg,0,2,1,1
129,20.jpg,1,2,1,0
130,21.jpg,1,2,1,0
131,22.jpg,1,2,1,0
132,200.jpg,0,2,0,1
133,201.jpg,0,2,0,1
134,202.jpg,0,2,0,1
135,2000.jpg,1,2,1,0
136,2001.jpg,1,2,1,0
137,2002.jpg,1,2,1,0
138,2010.jpg,1,2,1,0
139,2011.jpg,1,2,1,0
140,2012.jpg,1,2,1,0
141,2020.jpg,1,2,1,0
142,2021.jpg,1,2,1,0
143,2022.jpg,1,2,1,0
144,2030.jpg,1,1,1,1
145,2031.jpg,1,1,1,1
146,2032.jpg,1,1,1,1
147,2040.jpg,1,2,1,0
148,2041.jpg,1,2,1,0
149,2042.jpg,1,2,1,0
150,2050.jpg,1,1,1,0
151,2051.jpg,1,1,1,0
152,2052.jpg,1,1,1,0
153,2060.jpg,1,1,1,0
154,2061.jpg,1,1,1,0
155,2062.jpg,1,1,1,0
156,2070.jpg,1,1,1,1
157,2071.jpg,1,1,1,1
158,2072.jpg,1,1,1,1
159,2080.jpg,1,1,0,1
160,2081.jpg,1,1,0,1
161,2082.jpg,1,1,0,1
162,2090.jpg,1,1,1,0
163,2091.jpg,1,1,1,0
164,2092.jpg,1,1,1,0
165,210.jpg,1,2,1,0
166,211.jpg,1,2,1,0
167,212.jpg,1,2,1,0
168,2100.jpg,1,2,1,0
169,2101.jpg,1,2,1,0
170,2102.jpg,1,2,1,0
171,2110.jpg,1,2,1,1
172,2111.jpg,1,2,1,1
173,2112.jpg,1,2,1,1
174,2120.jpg,0,2,1,1
175,2121.jpg,0,2,1,1
176,2122.jpg,0,2,1,1
177,2130.jpg,1,2,1,1
178,2131.jpg,1,2,1,1
179,2132.jpg,1,2,1,1
180,2140.jpg,1,1,1,0
181,2141.jpg,1,1,1,0
182,2142.jpg,1,1,1,0
183,2150.jpg,1,2,1,0
184,2151.jpg,1,2,1,0
185,2152.jpg,1,2,1,0
186,2160.jpg,1,2,1,1
187,2161.jpg,1,2,1,1
188,2162.jpg,1,2,1,1
189,2170.jpg,1,1,0,1
190,2171.jpg,1,1,0,1
191,2172.jpg,1,1,0,1
192,2180.jpg,1,2,1,0
193,2181.jpg,1,2,1,0
194,2182.jpg,1,2,1,0
195,2190.jpg,0,2,1,1
196,2191.jpg,0,2,1,1
197,2192.jpg,0,2,1,1
198,220.jpg,0,2,1,1
199,221.jpg,0,2,1,1
200,222.jpg,0,2,1,1
201,2200.jpg,0,1,1,0
202,2201.jpg,0,1,1,0
203,2202.jpg,0,1,1,0
204,2210.jpg,0,2,1,1
205,2211.jpg,0,2,1,1
206,2212.jpg,0,2,1,1
207,2220.jpg,0,2,1,1
208,2221.jpg,0,2,1,1
209,2222.jpg,0,2,1,1
210,2230.jpg,1,2,1,1
211,2231.jpg,1,2,1,1
212,2232.jpg,1,2,1,1
213,2240.jpg,1,2,1,0
214,2241.jpg,1,2,1,0
215,2242.jpg,1,2,1,0
216,2250.jpg,1,2,1,0
217,2251.jpg,1,2,1,0
218,2252.jpg,1,2,1,0
219,2260.jpg,1,1,1,1
220,2261.jpg,1,1,1,1
221,2262.jpg,1,1,1,1
222,2270.jpg,1,1,1,1
223,2271.jpg,1,1,1,1
224,2272.jpg,1,1,1,1
225,2280.jpg,1,2,1,0
226,2281.jpg,1,2,1,0
227,2282.jpg,1,2,1,0
228,2290.jpg,1,1,1,0
229,2291.jpg,1,1,1,0
230,2292.jpg,1,1,1,0
231,230.jpg,1,2,0,0
232,231.jpg,1,2,0,0
233,232.jpg,1,2,0,0
234,2300.jpg,1,2,1,0
235,2301.jpg,1,2,1,0
236,2302.jpg,1,2,1,0
237,2310.jpg,1,2,0,0
238,2311.jpg,1,2,0,0
239,2312.jpg,1,2,0,0
240,2320.jpg,1,2,1,0
241,2321.jpg,1,2,1,0
242,2322.jpg,1,2,1,0
243,2330.jpg,0,2,1,1
244,2331.jpg,0,2,1,1
245,2332.jpg,0,2,1,1
246,2340.jpg,0,2,1,1
247,2341.jpg,0,2,1,1
248,2342.jpg,0,2,1,1
249,2350.jpg,1,2,1,0
250,2351.jpg,1,2,1,0
251,2352.jpg,1,2,1,0
252,2360.jpg,0,2,1,1
253,2361.jpg,0,2,1,1
254,2362.jpg,0,2,1,1
255,2370.jpg,1,2,1,0
256,2371.jpg,1,2,1,0
257,2372.jpg,1,2,1,0
258,2380.jpg,0,3,1,0
259,2381.jpg,0,3,1,0
260,2382.jpg,0,3,1,0
261,2390.jpg,0,2,1,1
262,2391.jpg,0,2,1,1
263,2392.jpg,0,2,1,1
264,240.jpg,1,1,1,1
265,241.jpg,1,1,1,1
266,242.jpg,1,1,1,1
267,2400.jpg,0,2,1,1
268,2401.jpg,0,2,1,1
269,2402.jpg,0,2,1,1
270,2410.jpg,1,2,1,1
271,2411.jpg,1,2,1,1
272,2412.jpg,1,2,1,1
273,2420.jpg,1,2,1,1
274,2421.jpg,1,2,1,1
275,2422.jpg,1,2,1,1
276,2430.jpg,1,2,0,0
277,2431.jpg,1,2,0,0
278,2432.jpg,1,2,0,0
279,2440.jpg,1,2,1,1
280,2441.jpg,1,2,1,1
281,2442.jpg,1,2,1,1
282,2450.jpg,1,2,1,0
283,2451.jpg,1,2,1,0
284,2452.jpg,1,2,1,0
285,2460.jpg,0,2,1,1
286,2461.jpg,0,2,1,1
287,2462.jpg,0,2,1,1
288,2470.jpg,1,3,1,0
289,2471.jpg,1,3,1,0
290,2472.jpg,1,3,1,0
291,2480.jpg,1,2,1,1
292,2481.jpg,1,2,1,1
293,2482.jpg,1,2,1,1
294,2490.jpg,0,2,1,1
295,2491.jpg,0,2,1,1
296,2492.jpg,0,2,1,1
297,250.jpg,0,3,1,1
298,251.jpg,0,3,1,1
299,252.jpg,0,3,1,1
300,2500.jpg,0,3,1,1
